N Env_Canada,ID_SOMAEU,ID_ouvrage,Nom Ouvrage,SOMAEU-Secteur,Region,Trop-Plein X,Trop-Plein Y,Trop-Plein Z,Trop-Plein Lat,Trop-Plein Lon,Emissaire X,Emissaire Y,Emissaire Lon,Emissaire Lat
MTL-21,MTL-137,4600-01D,4600-01D Deriv. Victoria I,OMAEU de Montreal (Station Jean-R.-Marcotte),POINTE-CLAIRE,279574.88,5032270.35,23.35,45.4299119859904,-73.822377515926,279659.33,5032197.31,-73.8212945314538,45.4292577834165
MTL-27,PTC-139,4600-03D,4600-03D Trop-plein Crewe,OMAEU de Pointe-Claire,POINTE-CLAIRE,279561.02,5032987.22,26.42,45.436362167529,-73.8225913929678,279895.78,5032486.41,-73.8182873995221,45.431867682303
MTL-22,MTL-140,4610-01D,4610-01D S.P. no 1,OMAEU de Montreal (Station Jean-R.-Marcotte),BEACONSFIELD,278377.05,5032601.76,24.84,45.4328499114496,-73.8377033291123,277772.08,5032264.57,-73.8454166099615,45.4297926270275
MTL-20,BCF-141,4610-06D,4610-06D S.P. no 6  (Amovible),OMAEU de Beaconsfield,BEACONSFIELD,276917.88,5032352.05,29.05,45.4305462711811,-73.8563380235751,277418.22,5032099.95,-73.8499297003533,45.4282975489121
MTL-7,BCF-142,4620-01D,4620-01D S.P. no 7,OMAEU de Beaconsfield,BEACONSFIELD,274667.42,5030703.93,24.92,45.4156225612636,-73.884997823875,274702.34,5030669.26,-73.8845495508252,45.4153120908585
MTL-8,BCF-143,4620-02D,4620-02D S.P. no 9,OMAEU de Beaconsfield,BEACONSFIELD,274450.63,5030676.14,25.8,45.4153631272592,-73.8877659304141,274456.73,5030601.57,-73.8876834027278,45.4146923838702
MTL-15,BCF-144,4620-03D,4620-03D S.P. no 10 (Amovible),OMAEU de Beaconsfield,BEACONSFIELD,274241.97,5031361.72,33.31,45.4215231378709,-73.8904743809142,274456.73,5030601.57,-73.8876834027278,45.4146923838702
MTL-9,BCF-145,4620-04D,4620-04D Trop-plein de la Vanne B (anc. Woodland-Lakesh),OMAEU de Beaconsfield,BEACONSFIELD,274716.04,5030740.66,25.09,45.4159551633301,-73.8843788724154,274748.37,5030683.23,-73.8839623033296,45.4154397764617
MTL-17,BCF-146,4620-05D,4620-05D S.P. no 8  (Amovible),OMAEU de Beaconsfield,BEACONSFIELD,274267.94,5031790.98,32.55,45.4253869023191,-73.8901691470772,274236.38,5031854.82,-73.8905764043247,45.4259599782438
MTL-13,BCF-147,4620-06D,4620-06D S.P. no 11 (Amovible),OMAEU de Beaconsfield,BEACONSFIELD,276022.5,5032805.2,32.03,45.4345876053711,-73.8678073776794,275912.44,5031318.18,-73.869126808962,45.4212023228433
MTL-166,MTL-148,4710-01D,4710-01D S.P. 134e avenue (PAT),OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),305051.4,5061972.01,12.12,45.6976323164228,-73.4967718065069,305057.49,5062017.28,-73.4966935816307,45.6980396591723
MTL-167,MTL-149,4710-02D,4710-02D S.P. 134e avenue - Emissaire d'urgence,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),305051.4,5061972.01,12.12,45.6976323164228,-73.4967718065069,305057.49,5062017.28,-73.4966935816307,45.6980396591723
MTL-170,MTL-150,4720-01D,4720-01D S.P. Delphis-Delorme (PAT),OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL (R-D-P),305647.33,5062251.49,10.6,45.7001466385843,-73.4891190620806,305629.25,5062289.78,-73.4893511699193,45.7004911983981
MTL-146,MTL-153,4770-01D,4770-01D S.P. Avenue 35 (PAT),OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL,305564.58,5057506.31,10.77,45.6574488836333,-73.4901891561084,305695.18,5057478.83,-73.4885133896309,45.6572014572807
MTL-57,MTL-154,4790-01D,4790-01D S.P. Cite du Havre,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL,301521.17,5038798.19,14.22,45.4890999687965,-73.5419473721053,301646.21,5038867.46,-73.5403481312554,45.4897238676333
MTL-39,MTL-155,4795-01D,4795-01D S.P. Moffat,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL,299464.12,5034439.862,15.747,45.4498689568416,-73.5682166883742,299571.03,5034413.76,-73.5668496183518,45.4496348882409
MTL-39,MTL-155,4796-01D,4795-01D S.P. Moffat,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL,299437.771,5034449.303,15.747,45.449953710084,-73.5685536504822,299571.03,5034413.76,-73.5668496183518,45.4496348882409
MTL-58,MTL-157,4630-01D,4630-01D TP St-Regis,OMAEU de Montreal (Station Jean-R.-Marcotte),DORVAL,283645.31,5039102.22,26.59,45.4915228327449,-73.7706519552988,283670.73,5039115.66,-73.7703273154061,45.4916445406445
MTL-135,MTL-160,4310-02D,4310-02D TP Bombardier,OMAEU de Montreal (Station Jean-R.-Marcotte),ANJOU,298049.75,5051872.58,32.4,45.6067229514286,-73.5865389276256,295351.4343,5054382.3798,-73.6211801929942,45.6292752609957
MTL-33,MTL-161,4530-03D,4530-03D S.P. Thorncrest,OMAEU de Montreal (Station Jean-R.-Marcotte),DORVAL,284489.99,5033586.18,24.1,45.4419124192972,-73.759617331488,284600.745,5033263.3936,-73.7581883469912,45.4390110549523
MTL-23,KIR-167,3580-02D,3580-02D S.P. Hymus,OMAEU de Kirkland,KIRKLAND,277966.5,5034506.68,,45.4499754460392,-73.8430542103563,,,,
MTL-10,BCF-164,4620-07D,4620-07D Woodland,OMAEU de Beaconsfield,BEACONSFIELD,274860.67,5030780.03,,45.4163156325142,-73.8825333870477,274878.4662,5030724.2929,-73.8823026266441,45.4158148508797
MTL-18,BCF-162,4610-08D,4610-08D Manresa,OMAEU de Beaconsfield,BEACONSFIELD,277116.07,5031926.92,,45.4267286650457,-73.8537812730595,,,,
MTL-14,BCF-165,4620-08D,4620-08D Kensington/Centennial,OMAEU de Beaconsfield,BEACONSFIELD,275730.94,5032759.8,,45.4341670204168,-73.8715310687105,,,,
MTL-24,BCF-163,4610-09D,4610-09D Sutton Place,OMAEU de Beaconsfield,BEACONSFIELD,277596.18,5033087.61,,45.4371918290403,-73.8477100458617,,,,
,MTL-162,4420-3D,4420-03D TP Godin,OMAEU de Montreal (Station Jean-R.-Marcotte),VERDUN,299106.2378,5034126.5574,,45.447,-73.5728,299316.46237957,5034043.37234932,-73.5701,45.4463
